season,contestant,age,made_finale,winner,n_wins,n_highs,n_lows,n_lipsyncs,n_episodes,age_num,followers_june2017,followers_week23,had_any_lipsync,had_any_win,highs_per_episode,hometown,is_California,is_Florida,is_Georgia,is_Illinois,is_New_York,is_Puerto_Rico,is_Texas,is_international,lipsyncs_per_episode,location,log_followers_june2017,log_followers_week23,lows_per_episode,season_num,state_or_country,total_bottom,total_top,wins_per_episode
S07,Max,22,0,0,2,0,0,1,13,22.0,214800,277000,1,1,0.0,"Hudson, Wisconsin",0,0,0,0,0,0,0,0,0.0769,"Portsmouth, NH, USA",12.2775,12.5318,0.0,7,Wisconsin,1,2,0.1538
S07,Miss Fame,29,0,0,0,2,4,1,13,29.0,763700,977000,1,0,0.1538,"New York, New York",0,0,0,0,1,0,0,0,0.0769,"Zürich, ZH, Switzerland",13.5459,13.7922,0.3077,7,New York,5,2,0.0
S07,Mrs. Kasha Davis,43,1,0,0,1,0,1,13,43.0,,159000,1,0,0.0769,"Rochester, New York",0,0,0,0,1,0,0,0,0.0769,NA,,11.9767,0.0,7,New York,1,1,0.0
S07,Pearl,23,1,0,3,2,1,2,13,23.0,693700,,1,1,0.1538,"Brooklyn, New York",0,0,0,0,1,0,0,0,0.1538,"Los Angeles, CA, USA",13.4498,,0.0769,7,New York,3,5,0.2308
S07,Sasha Belle,28,0,0,0,0,1,1,13,28.0,,,1,0,0.0,"Iowa City, Iowa",0,0,0,0,0,0,0,0,0.0769,"Iowa City, IA, USA",,,0.0769,7,Iowa,2,0,0.0
S07,Tempest DuJour,46,0,0,0,0,0,1,13,46.0,,135000,1,0,0.0,"Tucson, Arizona",0,0,0,0,0,0,0,0,0.0769,"Tucson, AZ, USA",,11.813,0.0,7,Arizona,1,0,0.0
S07,Trixie Mattel,26,0,0,0,1,0,2,13,26.0,577800,,1,0,0.0769,"Milwaukee, Wisconsin",0,0,0,0,0,0,0,0,0.1538,"West Hollywood, CA, USA",13.267,,0.0,7,Wisconsin,2,1,0.0
S07,Violet Chachki,22,1,0,5,2,2,0,13,22.0,794400,,0,1,0.1538,"Atlanta, Georgia",0,0,1,0,0,0,0,0,0.0,"Los Angeles, CA, USA",13.5853,,0.1538,7,Georgia,2,7,0.3846
S08,Acid Betty,37,0,0,0,3,0,1,10,37.0,185800,296000,1,0,0.3,"Brooklyn, New York",0,0,0,0,1,0,0,0,0.1,NA,12.1324,12.5981,0.0,8,New York,1,3,0.0
S08,Bob the Drag Queen,29,1,0,5,0,0,1,10,29.0,531600,974000,1,1,0.0,"Brooklyn, New York",0,0,0,0,1,0,0,0,0.1,"Los Angeles, CA, USA",13.1836,13.7892,0.0,8,New York,1,5,0.5
S08,Chi Chi DeVayne,30,0,0,1,1,1,3,10,30.0,187900,437000,1,1,0.1,"Shreveport, Louisiana",0,0,0,0,0,0,0,0,0.3,NA,12.1437,12.9877,0.1,8,Louisiana,4,2,0.1
S08,Cynthia Lee Fontaine,34,0,0,0,0,0,1,10,34.0,,289000,1,0,0.0,"Austin, Texas",0,0,0,0,0,0,1,0,0.1,"Austin, TX, USA",,12.5742,0.0,8,Texas,1,0,0.0
S08,Dax ExclamationPoint,31,0,0,0,0,0,1,10,31.0,,,1,0,0.0,"Savannah, Georgia",0,0,1,0,0,0,0,0,0.1,NA,,,0.0,8,Georgia,1,0,0.0
S08,Derrick Barry,32,0,0,1,2,2,2,10,32.0,175300,300000,1,1,0.2,"Las Vegas, Nevada",0,0,0,0,0,0,0,0,0.2,"Las Vegas, NV, USA",12.0743,12.6115,0.2,8,Nevada,4,3,0.1
S08,Kim Chi,27,1,0,3,2,1,0,10,27.0,798500,,0,1,0.2,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.0,"Los Angeles, CA, USA",13.5905,,0.1,8,Illinois,1,5,0.3
S08,Laila McQueen,22,0,0,0,0,0,2,10,22.0,,241000,1,0,0.0,"Gloucester, Massachusetts",0,0,0,0,0,0,0,0,0.2,"Chicago, IL, USA",,12.3926,0.0,8,Massachusetts,2,0,0.0
S08,Naomi Smalls,21,1,0,2,4,0,1,10,21.0,457500,935000,1,1,0.4,"Redlands, California",1,0,0,0,0,0,0,0,0.1,"Los Angeles, CA, USA",13.0335,13.7483,0.0,8,California,1,6,0.2
S08,Naysha Lopez,31,0,0,0,0,0,2,10,31.0,69000,,1,0,0.0,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.2,"Los Angeles, California, USA",11.1419,,0.0,8,Illinois,2,0,0.0
S08,Robbie Turner,33,0,0,1,0,2,2,10,33.0,83100,104000,1,1,0.0,"Seattle, Washington",0,0,0,0,0,0,0,0,0.2,NA,11.3278,11.5522,0.2,8,Washington,4,1,0.1
S08,Thorgy Thor,31,0,0,0,3,0,1,10,31.0,282100,585000,1,0,0.3,"Brooklyn, New York",0,0,0,0,1,0,0,0,0.1,"New York City, NY, USA",12.55,13.2794,0.0,8,New York,1,3,0.0
S09,Aja,22,0,0,0,0,0,2,12,22.0,288400,949000,1,0,0.0,"Brooklyn, New York",0,0,0,0,1,0,0,0,0.1667,NA,12.5721,13.7632,0.0,9,New York,2,0,0.0
S09,Alexis Michelle,33,0,0,1,1,2,2,12,33.0,101000,179000,1,1,0.0833,"New York, New York",0,0,0,0,1,0,0,0,0.1667,NA,11.5229,12.0951,0.1667,9,New York,4,2,0.0833
S09,Charlie Hides,52,0,0,0,0,1,1,12,52.0,,160000,1,0,0.0,"London, UK/ Boston, Massachusetts",0,0,0,0,0,0,0,0,0.0833,"London, England, UK",,11.9829,0.0833,9,Massachusetts,2,0,0.0
S09,Cynthia Lee Fontaine,34,0,0,0,0,0,2,12,34.0,,289000,1,0,0.0,"Austin, Texas",0,0,0,0,0,0,1,0,0.1667,"Austin, TX, USA",,12.5742,0.0,9,Texas,2,0,0.0
S09,Eureka O'Hara,25,1,0,0,2,0,0,12,25.0,,460000,0,0,0.1667,"Johnson City, Tennessee",0,0,0,0,0,0,0,0,0.0,,,13.039,0.0,9,Tennessee,0,2,0.0
S09,Farrah Moan,23,0,0,0,0,2,2,12,23.0,344800,793000,1,0,0.0,"Las Vegas, Nevada",0,0,0,0,0,0,0,0,0.1667,"Los Angeles, CA, USA",12.7507,13.5836,0.1667,9,Nevada,4,0,0.0
S09,Jaymes Mansfield,26,0,0,0,0,0,1,12,26.0,,135000,1,0,0.0,"Madison, Wisconsin",0,0,0,0,0,0,0,0,0.0833,"Las Vegas, NV, USA",,11.813,0.0,9,Wisconsin,1,0,0.0
S09,Kimora Blac,28,0,0,0,0,0,2,12,28.0,,281000,1,0,0.0,"Las Vegas, Nevada",0,0,0,0,0,0,0,0,0.1667,"Los Angeles, CA, USA",,12.5461,0.0,9,Nevada,2,0,0.0
S09,Nina Bo'nina Brown,34,0,0,1,2,1,3,12,34.0,191700,,1,1,0.1667,"Atlanta, Georgia",0,0,1,0,0,0,0,0,0.25,"Atlanta, GA, USA",12.1637,,0.0833,9,Georgia,4,3,0.0833
S09,Peppermint,37,1,0,1,4,1,2,12,37.0,135900,473000,1,1,0.3333,"New York, New York",0,0,0,0,1,0,0,0,0.1667,"Manhattan, New York City, NY, USA",11.8197,13.0669,0.0833,9,New York,3,5,0.0833
S09,Sasha Velour,29,1,0,3,5,1,0,12,29.0,292100,,0,1,0.4167,"Brooklyn, New York",0,0,0,0,1,0,0,0,0.0,"Brooklyn, New York City, NY, USA",12.5849,,0.0833,9,New York,1,8,0.25
S09,Shea Couleé,27,1,0,4,3,0,1,12,27.0,,,1,1,0.25,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.0833,"Chicago, IL, USA",,,0.0,9,Illinois,1,7,0.3333
S09,Trinity Taylor,31,1,0,3,2,2,1,12,31.0,150700,478000,1,1,0.1667,"Orlando, Florida",0,1,0,0,0,0,0,0,0.0833,,11.9231,13.0774,0.1667,9,Florida,3,5,0.25
S09,Valentina,25,0,0,1,2,0,1,12,25.0,439200,909000,1,1,0.1667,"Los Angeles, California",1,0,0,0,0,0,0,0,0.0833,"Los Angeles, CA, USA",12.9927,13.7201,0.0,9,California,1,3,0.0833
